timestamps,total_load_kw,critical_load_kw,load_shed_kw,battery_soc_percent,battery_power_kw,pv_generation_kw,generator_power_kw,grid_power_kw,is_islanded
2026-01-27 00:00:00,281.25756683394184,240,0,70,0,0.0,0,281.25756683394184,False
2026-01-27 00:15:00,278.517282295208,240,0,70,0,0.0,0,278.517282295208,False
2026-01-27 00:30:00,293.58447484961624,240,0,70,0,0.0,0,293.58447484961624,False
2026-01-27 00:45:00,268.4840966134372,240,0,70,0,0.0,0,268.4840966134372,False
2026-01-27 01:00:00,289.0286167397292,240,0,70,0,0.0,0,289.0286167397292,False
2026-01-27 01:15:00,283.78786153775195,240,0,70,0,0.0,0,283.78786153775195,False
2026-01-27 01:30:00,277.94639868516936,240,0,70,0,0.0,0,277.94639868516936,False
2026-01-27 01:45:00,278.6009652880231,240,0,70,0,0.0,0,278.6009652880231,False
2026-01-27 02:00:00,276.6579845577713,240,0,70,0,0.0,0,276.6579845577713,False
2026-01-27 02:15:00,277.25886114763586,240,0,70,0,0.0,0,277.25886114763586,False
2026-01-27 02:30:00,276.8758949973134,240,0,70,0,0.0,0,276.8758949973134,False
2026-01-27 02:45:00,275.03547314491806,240,0,70,0,0.0,0,275.03547314491806,False
2026-01-27 03:00:00,287.2864066246288,240,0,70,0,0.0,0,287.2864066246288,False
2026-01-27 03:15:00,267.5028816120334,240,0,70,0,0.0,0,267.5028816120334,False
2026-01-27 03:30:00,291.9902004852415,240,0,70,0,0.0,0,291.9902004852415,False
2026-01-27 03:45:00,283.51869517331534,240,0,70,0,0.0,0,283.51869517331534,False
2026-01-27 04:00:00,286.79977890993086,240,0,70,0,0.0,0,286.79977890993086,False
2026-01-27 04:15:00,269.7274367317762,240,0,70,0,0.0,0,269.7274367317762,False
2026-01-27 04:30:00,267.21365144304434,240,0,70,0,0.0,0,267.21365144304434,False
2026-01-27 04:45:00,282.9637850869365,240,0,70,0,0.0,0,282.9637850869365,False
2026-01-27 05:00:00,293.4314940193849,240,0,70,0,0.0,0,293.4314940193849,False
2026-01-27 05:15:00,281.62688900636584,240,0,70,0,0.0,0,281.62688900636584,False
2026-01-27 05:30:00,270.2909995237025,240,0,70,0,0.0,0,270.2909995237025,False
2026-01-27 05:45:00,289.47804246304196,240,0,70,0,0.0,0,289.47804246304196,False
2026-01-27 06:00:00,286.28374106140427,240,0,70,0,0.0,0,286.28374106140427,False
2026-01-27 06:15:00,282.5440209286314,240,0,70,0,0.0,0,282.5440209286314,False
2026-01-27 06:30:00,287.5418984114796,240,0,70,0,0.0,0,287.5418984114796,False
2026-01-27 06:45:00,287.41041457902804,240,0,70,0,0.0,0,287.41041457902804,False
2026-01-27 07:00:00,267.5900299420979,240,0,70,0,0.0,0,267.5900299420979,False
2026-01-27 07:15:00,278.35178627617915,240,0,70,0,0.0,0,278.35178627617915,False
2026-01-27 07:30:00,281.029782231147,240,0,70,0,0.0,0,281.029782231147,False
2026-01-27 07:45:00,287.09581177217467,240,0,70,0,0.0,0,287.09581177217467,False
2026-01-27 08:00:00,274.48051930262017,240,0,70,0,0.0,0,274.48051930262017,False
2026-01-27 08:15:00,283.79074115369895,240,0,70,0,0.0,0,283.79074115369895,False
2026-01-27 08:30:00,280.6029957199599,240,0,70,0,0.0,0,280.6029957199599,False
