timestamps,total_load_kw,critical_load_kw,load_shed_kw,battery_soc_percent,battery_power_kw,pv_generation_kw,generator_power_kw,grid_power_kw,is_islanded
2026-01-27 00:00:00,741.4831194859731,220,0,80,0,0.0,0,741.4831194859731,False
2026-01-27 00:15:00,712.3512730219603,220,0,80,0,0.0,0,712.3512730219603,False
2026-01-27 00:30:00,713.8909602599794,220,0,80,0,0.0,0,713.8909602599794,False
2026-01-27 00:45:00,738.6521556571109,220,0,80,0,0.0,0,738.6521556571109,False
2026-01-27 01:00:00,735.9601768151138,220,0,80,0,0.0,0,735.9601768151138,False
2026-01-27 01:15:00,731.9066859007277,220,0,80,0,0.0,0,731.9066859007277,False
2026-01-27 01:30:00,725.7739160002554,220,0,80,0,0.0,0,725.7739160002554,False
2026-01-27 01:45:00,720.5064446624468,220,0,80,0,0.0,0,720.5064446624468,False
2026-01-27 02:00:00,722.9076809107794,220,0,80,0,0.0,0,722.9076809107794,False
2026-01-27 02:15:00,722.0506323672566,220,0,80,0,0.0,0,722.0506323672566,False
2026-01-27 02:30:00,722.4833153968096,220,0,80,0,0.0,0,722.4833153968096,False
2026-01-27 02:45:00,710.8209526601535,220,0,80,0,0.0,0,710.8209526601535,False
2026-01-27 03:00:00,710.4772331160688,220,0,80,0,0.0,0,710.4772331160688,False
2026-01-27 03:15:00,707.2194215122341,220,0,80,0,0.0,0,707.2194215122341,False
2026-01-27 03:30:00,718.8061647204547,220,0,80,0,0.0,0,718.8061647204547,False
2026-01-27 03:45:00,718.2183440850085,220,0,80,0,0.0,0,718.2183440850085,False
2026-01-27 04:00:00,698.9663933587749,220,0,80,0,0.0,0,698.9663933587749,False
2026-01-27 04:15:00,713.6062820930786,220,0,80,0,0.0,0,713.6062820930786,False
2026-01-27 04:30:00,741.0514714285077,220,0,80,0,0.0,0,741.0514714285077,False
2026-01-27 04:45:00,724.404416643362,220,0,80,0,0.0,0,724.404416643362,False
2026-01-27 05:00:00,740.552502370299,220,0,80,0,0.0,0,740.552502370299,False
2026-01-27 05:15:00,715.0223252366558,220,0,80,0,0.0,0,715.0223252366558,False
2026-01-27 05:30:00,702.5415554408289,220,0,80,0,0.0,0,702.5415554408289,False
2026-01-27 05:45:00,717.4556796714627,220,0,80,0,0.0,0,717.4556796714627,False
2026-01-27 06:00:00,720.4773186012151,220,0,80,0,0.0,0,720.4773186012151,False
2026-01-27 06:15:00,728.4985514688804,220,0,80,0,0.0,0,728.4985514688804,False
2026-01-27 06:30:00,717.4206771578109,220,0,80,0,0.0,0,717.4206771578109,False
2026-01-27 06:45:00,725.5666252587814,220,0,80,0,0.0,0,725.5666252587814,False
2026-01-27 07:00:00,735.2043524420092,220,0,80,0,0.0,0,735.2043524420092,False
2026-01-27 07:15:00,716.324282901933,220,0,80,0,0.0,0,716.324282901933,False
2026-01-27 07:30:00,705.6267150888017,220,0,80,0,0.0,0,705.6267150888017,False
2026-01-27 07:45:00,704.0025236779093,220,0,80,0,0.0,0,704.0025236779093,False
2026-01-27 08:00:00,699.1976257051999,220,0,80,0,0.0,0,699.1976257051999,False
2026-01-27 08:15:00,738.9352867591011,220,0,80,0,0.0,0,738.9352867591011,False
2026-01-27 08:30:00,712.7269645789742,220,0,80,0,0.0,0,712.7269645789742,False
2026-01-27 08:45:00,712.4868366667519,220,0,80,0,0.0,0,712.4868366667519,False
2026-01-27 09:00:00,714.2756838797529,220,0,80,0,0.0,0,714.2756838797529,False
2026-01-27 09:15:00,717.1272585136636,220,0,80,0,0.0,0,717.1272585136636,False
2026-01-27 09:30:00,715.4208341448506,220,0,80,0,0.0,0,715.4208341448506,False
2026-01-27 09:45:00,701.9450061365212,220,0,80,0,0.0,0,701.9450061365212,False
2026-01-27 10:00:00,708.1756762456597,220,0,80,0,0.0,0,708.1756762456597,False
2026-01-27 10:15:00,737.2934227550468,220,0,80,0,0.0,0,737.2934227550468,False
2026-01-27 10:30:00,727.590285259632,220,0,80,0,0.0,0,727.590285259632,False
2026-01-27 10:45:00,735.8032308308188,220,0,80,0,0.0,0,735.8032308308188,False
2026-01-27 11:00:00,723.151355155933,220,0,80,0,0.0,0,723.151355155933,False
2026-01-27 11:15:00,702.9830085133295,220,0,80,0,0.0,0,702.9830085133295,False
